"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"21","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<3, float, float, float, 256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, 0>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.61"
"21","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<3, float, float, float, 256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, 0>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","13.36"
"22","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<1, float, float, float, 256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, 1>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.22"
"22","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<1, float, float, float, 256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, 1>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","14.47"
"23","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 4, 28, 513, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.06"
"23","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 4, 28, 513, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","10.66"
"24","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, true, true, genericReformat::ArrayN<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::ArrayN<4>)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.35"
"24","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, true, true, genericReformat::ArrayN<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::ArrayN<4>)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","9.36"
"25","4501","trtexec","127.0.0.1","trt_volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","92.06"
"25","4501","trtexec","127.0.0.1","trt_volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","5.99"
"26","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, false, true, genericReformat::IdentityCoordMapper<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::IdentityCoordMapper<4>)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","7.20"
"26","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, false, true, genericReformat::IdentityCoordMapper<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::IdentityCoordMapper<4>)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","27.37"
"27","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 14, 14, 841, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.03"
"27","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 14, 14, 841, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","7.23"
"28","4501","trtexec","127.0.0.1","trt_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","53.09"
"28","4501","trtexec","127.0.0.1","trt_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","8.56"
"29","4501","trtexec","127.0.0.1","trt_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","92.06"
"29","4501","trtexec","127.0.0.1","trt_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","6.44"
"30","4501","trtexec","127.0.0.1","trt_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","63.46"
"30","4501","trtexec","127.0.0.1","trt_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","6.28"
"31","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 7, 7, 225, 5, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.78"
"31","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 7, 7, 225, 5, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","2.52"
"32","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<1, 1, 1, 1, 1, 1, 192, 1, 1, false, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)1, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.26"
"32","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<1, 1, 1, 1, 1, 1, 192, 1, 1, false, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)1, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","1.13"
"33","4501","trtexec","127.0.0.1","volta_sgemm_128x32_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","227.10"
"33","4501","trtexec","127.0.0.1","volta_sgemm_128x32_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","25.98"
"34","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.39"
"34","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.79"
"35","4501","trtexec","127.0.0.1","volta_sgemm_128x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","110.46"
"35","4501","trtexec","127.0.0.1","volta_sgemm_128x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","23.86"
"36","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.23"
"36","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.81"
"37","4501","trtexec","127.0.0.1","volta_sgemm_64x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","37.18"
